first_name,last_name,dob,gender,patient_id_oid,patient_id,mrn,ssn,address,city,state,zip,phone,email
John,Doe,1980-01-15,M,1.2.840.114350.1.13.297.2.7.2.688879,PAT001,MRN10001,111-11-1111,123 Main St,Springfield,IL,62701,555-0100,john.doe@email.com
Jane,Smith,1975-06-20,F,1.2.840.114350.1.13.297.2.7.2.688879,PAT002,MRN10002,222-22-2222,456 Oak Ave,Chicago,IL,60601,555-0101,jane.smith@email.com
José,García,1990-03-10,M,1.2.840.114350.1.13.297.2.7.2.688880,,MRN10003,,789 Elm Street,Los Angeles,CA,90001,555-0102,
María,Rodríguez,1985-11-25,F,1.2.840.114350.1.13.297.2.7.2.688880,PAT004,,,234 Pine Rd,Miami,FL,33101,,maria.r@email.com
François,Dubois,1972-07-08,M,1.2.840.114350.1.13.297.2.7.2.688881,PAT005,MRN10005,333-33-3333,567 Maple Dr,Boston,MA,02101,555-0104,francois.d@email.com
Mei,Chen,1995-02-14,F,1.2.840.114350.1.13.297.2.7.2.688881,,MRN10006,,890 Cedar Ln,San Francisco,CA,94101,555-0105,
Ahmed,Hassan,1988-09-30,M,1.2.840.114350.1.13.297.2.7.2.688882,PAT007,MRN10007,444-44-4444,321 Birch Ave,Houston,TX,77001,555-0106,ahmed.h@email.com
Yuki,Tanaka,1992-12-05,O,1.2.840.114350.1.13.297.2.7.2.688882,PAT008,MRN10008,,654 Spruce St,Seattle,WA,98101,,yuki.tanaka@email.com
Hans,Müller,1968-04-22,M,1.2.840.114350.1.13.297.2.7.2.688883,PAT009,MRN10009,555-55-5555,987 Willow Way,Denver,CO,80201,555-0108,hans.mueller@email.com
Olga,Ivanova,1983-08-17,F,1.2.840.114350.1.13.297.2.7.2.688883,,,,135 Aspen Ct,Portland,OR,97201,555-0109,
Alessandro,Rossi,1978-05-03,M,1.2.840.114350.1.13.297.2.7.2.688884,PAT011,MRN10011,666-66-6666,246 Poplar Pl,Phoenix,AZ,85001,555-0110,alessandro.r@email.com
Priya,Patel,1991-10-28,F,1.2.840.114350.1.13.297.2.7.2.688884,PAT012,MRN10012,,369 Hickory Rd,Atlanta,GA,30301,,priya.patel@email.com
Kwame,Osei,1986-01-12,M,1.2.840.114350.1.13.297.2.7.2.688885,PAT013,MRN10013,777-77-7777,482 Magnolia Dr,Philadelphia,PA,19101,555-0112,kwame.o@email.com
Emma,O'Neill,1993-06-19,F,1.2.840.114350.1.13.297.2.7.2.688885,,MRN10014,,595 Sycamore St,Detroit,MI,48201,555-0113,
Sven,Andersson,1970-11-07,M,1.2.840.114350.1.13.297.2.7.2.688886,PAT015,MRN10015,888-88-8888,618 Chestnut Ave,Minneapolis,MN,55401,555-0114,sven.a@email.com
Fatima,Al-Said,1989-03-26,F,1.2.840.114350.1.13.297.2.7.2.688886,PAT016,MRN10016,,731 Walnut Blvd,Dallas,TX,75201,,fatima.s@email.com
Wei,Zhang,1996-09-14,U,1.2.840.114350.1.13.297.2.7.2.688887,PAT017,MRN10017,999-99-9999,844 Beech Ln,San Diego,CA,92101,555-0116,wei.zhang@email.com
Isabella,Schmidt-Weber,1982-12-21,F,1.2.840.114350.1.13.297.2.7.2.688887,,MRN10018,,957 Redwood Dr,Austin,TX,78701,555-0117,
Dmitri,Volkov,1974-07-04,M,1.2.840.114350.1.13.297.2.7.2.688888,PAT019,MRN10019,101-01-0101,"1070 Oak Park, Apt 4B",Nashville,TN,37201,555-0118,dmitri.v@email.com
Amara,Nwosu,1994-02-28,F,1.2.840.114350.1.13.297.2.7.2.688888,PAT020,,,183 Pine Ridge,Charlotte,NC,28201,,amara.n@email.com
Liam,MacLeod,1987-05-16,M,1.2.840.114350.1.13.297.2.7.2.688889,PAT021,MRN10021,202-02-0202,296 Elm Grove,Columbus,OH,43201,555-0120,liam.m@email.com
Sofia,Fernández,1991-08-09,F,1.2.840.114350.1.13.297.2.7.2.688889,,MRN10022,,309 Maple Heights,Indianapolis,IN,46201,555-0121,
Raj,Kumar,1979-11-23,M,1.2.840.114350.1.13.297.2.7.2.688890,PAT023,MRN10023,303-03-0303,412 Cedar Ridge,San Jose,CA,95101,555-0122,raj.kumar@email.com
Zara,Ali,1998-04-05,F,1.2.840.114350.1.13.297.2.7.2.688890,PAT024,MRN10024,,525 Birch Valley,Jacksonville,FL,32201,,zara.ali@email.com
Mikael,Nielsen,1976-01-30,M,1.2.840.114350.1.13.297.2.7.2.688891,PAT025,MRN10025,404-04-0404,638 Spruce Hill,Fort Worth,TX,76101,555-0124,mikael.n@email.com
Aisha,Mohamed,1990-07-18,F,1.2.840.114350.1.13.297.2.7.2.688891,,,,741 Willow Creek,Memphis,TN,38101,555-0125,
Hiroshi,Yamamoto,1984-10-11,M,1.2.840.114350.1.13.297.2.7.2.688892,PAT027,MRN10027,505-05-0505,854 Aspen Lane,Baltimore,MD,21201,555-0126,hiroshi.y@email.com
Gabriela,Costa,1992-02-25,O,1.2.840.114350.1.13.297.2.7.2.688892,PAT028,MRN10028,,967 Poplar View,El Paso,TX,79901,,gabriela.c@email.com
Björn,Johansson,1971-06-13,M,1.2.840.114350.1.13.297.2.7.2.688893,PAT029,MRN10029,606-06-0606,180 Hickory Bend,Milwaukee,WI,53201,555-0128,bjorn.j@email.com
Naledi,Khumalo,1997-09-02,F,1.2.840.114350.1.13.297.2.7.2.688893,PAT030,MRN10030,,"293 Magnolia Terrace, Suite 12",Albuquerque,NM,87101,555-0129,naledi.k@email.com
